year,gdp_per_capita_usd,household_consumption_per_capita_usd,total_population,urban_population_pct
2015,8175.33285077393,3111.57733727258,1379860000.0,57.3297843933105
2016,8254.86859320357,3387.30326753543,1387790000.0,58.8399238586426
2017,8979.67652709856,3675.7795108406,1396215000.0,60.2402687072754
2018,10085.6638148819,3963.11619368469,1402760000.0,61.5001983642578
2019,10342.9009524335,4173.65995460491,1407745000.0,62.7099151611328
2020,10627.4637989619,4050.83369006802,1411100000.0,63.5234230266258
2021,12887.4357242941,4578.9428350316,1412360000.0,64.721076965332
2022,12970.6056414327,4647.9634911987,1412175000.0,65.2176361083984
2023,12951.1782397043,5101.98971459392,1410710000.0,65.5301448035523
2024,13293.1162269366,5364.45721008498,1408975000.0,65.8946980998325
